"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	332747
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	322986
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	311775
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	306766
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	307147
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	305445
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	309442
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	321309
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	313890
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	310977
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	317854
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	324482
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	332287
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	341291
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	345185
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	335973
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	335140
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	338369
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	337647
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	339766
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	342983
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	"2020"	"2020"	344470
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	1439525
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	1443218
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	1444591
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	1460798
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	1489997
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	1557139
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	1565003
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	1557735
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	1523499
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1508908
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1501529
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1482292
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1453646
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1443124
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1446108
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1465579
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1522679
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1501273
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1509801
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1520831
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1506340
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1510023
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	1520529
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	1510969
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	1467245
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	1468151
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	1463412
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	1444959
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	1441012
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	1445100
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	"2020"	"2020"	1452476
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	281783
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	289291
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	301957
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	316570
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	337022
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	346494
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	349916
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	352050
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	351845
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	344426
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	334279
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	321674
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	316960
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	317747
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	315143
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	319201
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	330665
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	323042
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	321522
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	328237
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	336279
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	342535
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	354096
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	355407
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	346397
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	346635
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	350897
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	350298
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	351207
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	354470
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	"2020"	"2020"	356160
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	1518509
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	1522618
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	1520908
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	1537650
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	1569897
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	1641371
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	1647568
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	1635223
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	1608577
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1590523
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1584078
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1562084
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1526529
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1519236
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1521764
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1543934
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1595853
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1574063
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1584996
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1595874
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1581258
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1586015
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	1591931
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	1580887
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	1533139
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	1534139
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	1535355
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	1513040
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	1508477
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	1518772
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	1521364
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	262442
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	274652
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	282142
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	294082
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	308162
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	327128
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	336618
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	338944
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	340390
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	338760
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	333122
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	323838
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	312818
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	307943
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	308498
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	307053
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	311335
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	323342
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	315908
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	313534
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	321389
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	325520
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	333186
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	342219
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	346225
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	337144
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	336402
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	339735
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	338886
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	340866
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	"2020"	"2020"	343837
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	1396259
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	1442266
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	1446426
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	1448473
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	1463562
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	1491766
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	1558830
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	1567098
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	1559734
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1524752
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1510302
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1500750
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1480640
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1450819
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1439233
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1441810
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1460758
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1516585
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1494578
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1502139
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1515770
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1508978
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	1512284
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	1523136
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	1513912
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	1470510
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	1471979
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	1467176
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	1448436
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	1443539
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	"2020"	"2020"	1447272
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	269076
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	282541
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	290254
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	302809
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	316867
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	336956
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	346330
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	349226
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	351295
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	350554
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	343193
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	335019
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	322716
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	318215
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	319224
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	316998
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	321378
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	333084
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	325441
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	324524
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	332445
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	337139
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	343399
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	355038
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	356383
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	347552
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	347913
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	352206
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	351418
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	352243
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	"2020"	"2020"	355334
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	1470958
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	1518472
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	1523515
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	1522991
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	1538880
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	1570524
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	1642125
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	1648934
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	1636929
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1609476
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1591780
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1583133
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1560016
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1523079
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1514478
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1516390
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1537724
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1588008
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1565362
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1575027
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1589542
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1583754
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	1588345
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	1594381
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	1583845
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	1536585
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	1538076
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	1539549
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	1516586
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	1511282
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	"2020"	"2020"	1521066
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	269739
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	269218
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	281706
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	289228
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	301005
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	314993
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	334082
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	343556
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	345336
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	346468
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	342844
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	334391
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	325672
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	315051
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	310562
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	311762
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	310931
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	315774
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	328416
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	321332
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	318411
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	322361
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	326393
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	334186
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	343271
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	347295
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	338299
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	337654
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	340791
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	339884
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	"2020"	"2020"	341670
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	1427107
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	1398321
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	1446690
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	1453549
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	1456581
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	1472854
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	1503301
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	1573489
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	1583314
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1577378
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1539846
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1510489
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1501448
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1481663
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1452323
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1441715
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1445396
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1464945
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1521549
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1500074
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1506799
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1518387
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	1511481
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	1515013
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	1526130
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	1517328
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	1474291
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	1475720
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	1470572
